Label,Text
sarc,The VPC has a political agenda. The FBI? That is like saying I believe Coke taste better than Pepsi because the Coke commericial says so.
sarc,"So what you're saying is that by mentioning both in the same post, I'm saying that unless someone is a YEC then they aren't a christian? Because that is what you attributed to me. Yet you have yet to post evidence of me saying that to anyone. Nor have you supported your original claim here, you said this: Last I checked, no credible fossil fuel firm hired YEC geologists. Prove this assertion since you researched it thoroughly enough to start a thread about."
sarc,We came from apes not created. Why can't people figure that out did any body go to school around here.
sarc,"So, how many unborn babies did your God drown in Genesis? Talk about hypocrisy."
sarc,"Not only would I throw the switch, I'd pay the electric bill, too. emoticonXGood"
sarc,Stick with the bass guitar. emoticonXRolleyes   And if you break a string....TRY not to blame it on Clinton. :p
sarc,Over the Internet that can be a particularly difficult call...
sarc,"Why would I want lies , deceptions and superstition? I mean, if believing in Jesus makes people act like you, NO THANKS"
sarc,"Because the NY Times, CNN, ABC, Dan Rather, and Handgun Control are all atheist-lead and anti-Christianity. Yeah."
sarc,"Well, when the people who market prayer come up with evidence that it works as described, let us know! As a meditation technique, it might work fine, who knows, but then, so do many other methods.  "
sarc,"Buy stock in the failing banks? What a great investment. Tell me, where does the money come from?"
sarc,"I'll let you know if or when I'm ignoring you, O Hell-bound spawn of Satan."
sarc,"so if right now, i ask god for forgivness, someone kills me, i will go to heaven by default? makes sense to me, i mean, i dont have time to sin..."
sarc,"Not quite sure what you are talking about, Iangb. And I really don't have time to crack the code so if you have a specific question, just ask it already."
sarc,"  Are you being dense on purpose? I said that I'm not all into the semantics of baby/fetus. I'll conceid that its killing a baby. The TERM for it is fetus, fetus' become babies. I see the logic there (in fact I think I'm agreeing with you). Why must you keep pounding this drum?  "
sarc,"When do you advocate breeding blond haired, blue eyed citizens to purify the US?"
sarc,"that's right, i don't want ANOTHER parental figure to tell me what to do, when to do it, and how to do it."
sarc,...or we could feed the criminals to the dinosaurs!...save the cows for meatloaf.
sarc,You question others sources and credibility yet you parade around under the name of a giant cartoon Shake?
sarc,"* - edit: you know, actually, evidence in the form of experimental results are reviewed, or at least the methods are reviewed, and then if the experiment isn't reproducible then the evidence becomes suspect, so in that light evidence is, sort of, reviewed. Eh, who cares?)"
sarc,And yet here we are and neo-Darwinism continues to have empirical support right and left with no sign of it being falsified in sight as of yet. Why might that be? And you Bertvan do not exist since you are so highly improbable. Therefore I can safely assume that your post above just happened without your existense.
sarc,"Said like a lazy, ignorant person who would rather live off the sweat of others than go out and earn for himself."
sarc,"Yeah, so will slaves who don't know their Biblical place under their masters, and women who don't submit to men."
sarc,So you haven't got an answer to the question and prove that you are 'busted'.. That's OK...as long as we can all see that.
sarc,You wouldn't. More likely you'll pursue your Wiccan follies until Judgment Day and then wonder what hit you.
sarc,"If I had said that, I would have been wrong. But the fact is that I didn't say that. You seem to have a problem in undertanding English. Let me help. Here is what I said:  "
sarc,It is also enough for me to realize you people are using words without definitions.   
sarc,Yeah. It's snowing sooner here in the Midwest. I think the next Ice Age is coming.
sarc,"Yeeees, that's why option 4 as I wrote it says ""reinterpret"" as opposed to ""reject.""   Having a bad reading day, eh?"
sarc,It also isn't a baby yet either. It is called a fetus.
sarc,You already screwed them over when you decided to cover their country in radioactive dust. Depleted uranium is a real bitch.  
sarc,"You know my answer: There is no god and no one ""created"" mankind. But the discussion over the existence of god belongs rightly under ""Religious"" or ""Philosophy"" section, not abortion.   Is this one of the tactics you fundies frequently practice? Change the subject when you are about to lose?"
sarc,"No, you at least need a sling shot and ball bearings, lol."
sarc,And you are only trying to earn yourself brownie points in hell.
sarc,"And like I said, your opinion is worth exactly NOTHING. emoticonXRolleyes"
sarc,"Are you kidding me?! You think that blacks living in Third World Carribean and African countries are ""content?!"" They're starving by the tens of thousands per day or living so far below the poverty level that it's unimaginable. Maybe you should wander off the beach sometime and see for yourself.  "
sarc,The horsehoe bend was cretaed by the flood in the image of the immaculate horseshoe. repent heathen!
sarc,"  I know, maybe the American criminals will just import guns in with their Mexican illegal drugs. I don't know for sure but I believe the Mexican Drug gangs wouldn't mind another revenue stream. Net results, Zilch, nada, zero. But you know that! emoticonXSmilie Gun control is nothing but a scam!"
sarc,"Careful now, Simone. A lesser man might report you to the moderator.;)  "
sarc,If the same question had been posed by different polls over time it would be easier to draw trends from the responses..... but good luck with finding some trends in amongst that lot.
sarc,"Ah, the esteemed Washington Times, the rag of that Korean Reverend who does the mass marriages and other weird stuff--um, what's his name now?"
sarc,Haaaaa Haaaaa Haaaaaaah haahhhha HAhaaaa. My GOD I can't stop laughing Heeee Haaaa.
sarc,Well you wouldn't have to 5hit yourself everytime you walked down the streets if you had a gun yourself.
sarc,"Your problem is that you take the Bible as the Literal Word of the Invisible man which everyone with a brain knows it is NOT. There are other ""Sins' listed in the old testament that you ignore and try to explain away but you know as well as I that Jesus did not change the Laws. If you want others to live by your False book of fairy tales it would be a Good Idea for you to read it and follow it yourself first. Choosing one or two scriptures and using them to attack people is only making you look foolish.  "
sarc,Good news. It seems as time goes on Arizona attempts to become more and more intolerant and bigoted. Thankfully he put an end to this one (too bad not the immigration one).
sarc,Once again archie squirms when the definition of regime is pointed out to him and it nullifies his claims.........
sarc,Two Vikings on one board? Time to beat a hasty retreat before I'm pillaged emoticonXChicken
sarc,"Once again, you have attempted to use the Bible to further your agenda and have been found lacking. emoticonXRolleyes   "
sarc,So you are saying that we determine our DNA? Do you actually think before typing?
sarc,"Ha.a.a.a :p emoticonXGood Good one, sinjin.  What is the sound of one hand clapping.....?  Ladywolf,  Your answer will probably come from many different sources. Your idea that it evolved is pretty-much it, IMO."
sarc,"Oh, look, removing a quote from its context. How about your address my textbook definition next?  "
sarc,"Only some? what's this then:  hxxp://en.wikipedia.org/wiki/Image:Pakicetus_(1).jpg  Replace the xx with tt in case you're wondering why I put the link up like that, it's the stupid post count thingy."
sarc,"Is this a rational statement? If so, prove it rationally, by science."
sarc,Let me return the kindness. The correct spelling is ==> especially   
sarc,It is only difficult to sort out if you are a neocon and fail to recognize that neocons are nothing but militant liberals.   Bush was BY FAR the most liberal president we have had for at least 20 years.   Maybe you need to research traditional conservative values.
sarc,"What, pray, is a real answer? Because, you know, if it is anything like a corrcect answer you are doing a rather poor job of it, mate."
sarc,The riddles continue? emoticonXConfused Wouldn't it have taken less time and have been less ambiguous if you or Dr Spock just posted the # of the post?emoticonXRolleyes emoticonXRolleyes
sarc,My pursuit of happiness is denied by trees existing. Let's burn them down and destroy the environment. It's much better than me being unhappy.
sarc,"Pathetic, why would you let anyone besides yourself determine who you call family? Nobody is forcing their religion on you. Nobody is even saying who you can or can't get married to. What is being said is that you, or anyone else, doesn't have the ""right"" to have that marriage recognized by gov't. Universal recognition by gov't doesn't even happen in hetro marriages. Nowhere in the founding documents of this nation does it say ""All gov't entities shall recognize all people's marriages"". Since we have ""a government for the people by the people"", the duties of government not spelled out in the founding documents are determined by the people. You have the freedom to vote your beliefs and so does everybody else."
sarc,"Of course I can't. Can you guarantee that the apparent mugging about to happen isn't some poor slob about to ask directions?   Big guy, dark parking lot, bang bang. Better safe than sorry, eh?"
sarc,"Yup. Give me an example of a true inaccuracy, instead of working to poke fun. Do you honestly think anyone will take you seriously (except the evolutionists) if you don't provide reasons for your apparent problem with scriptures. Are you scared because you see the ""ancients"" commenting on subjects you thought science had ""discovered"" since the ""enlightenment""? Man, how arrogant can you get? You remind me of the Pharasees. Arrogant presuppositions are no substitue for confronting your ignorance my friend. Either explain how the Bible speaks accurately on sophisticated subjects as given above, or don't bother posting."
sarc,"Hmmm, a mere human-mother cannot make decisions concerning her own body, but you, sk8joyful, can usurp the position of God and tell another human, especially a mere human-mother, what she is allowed to do with her body."
sarc,"Me, too. I'd probably throw in some counseling as well, just for starters."
sarc,"Including the mentally ill, those with previous violent felonies, and children?"
sarc,"And here is the crux of the matter where I think Libertarians are missing it: As one Founding Father said, ""There can be no liberty without virtue."" Someone else once said, ""Intemperate men can never be free because their passions give rise to their bindings"".   If the God of the Bible is right, a nation which legalizes sin and intemperance loses the favor of God. And when the sins of a nation reach their fullness (in God's eyes), that disfavor can turn to judgment (Genesis 15:16, Deuteronomy Chapter 28 - ""The blessings of obedience and curses of disobedience). Therefore, while many of the Libertarians mean well on liberal social issues, they nevertheless either don't see the big picture, or they don't believe it will occur."
sarc,If it isn't so hard then why haven't you found it yet? I am still waiting and you becoming cocky is not helping you.
sarc,"Good point here, because the media never insults right-wingers....emoticonXRolleyes   I don't think anybody is denying that Imus' comments were tasteless and offensive. The point that is being made here is that he has the right to make such comments. He didn't discriminate against anyone. He simply said something stupid. If this is going to be considered a crime, we would all be locked away."
sarc,"Well then, using just the Bible, what is the value of pi to the third decimal point?"
sarc,"Nice spin. Would you have preferred ""the civilized world"" instead? Or Western Civilization or Gay Western Civilization? Your preference? One case in 1959 isn't a pandemic.   "
sarc,"Oh spare me the condemnation ya' XXXX-hard. You aren't interested in saving souls. If you were, you would bother to have payed attention to the countless times you have been told that your abrasive, insulting tactics DON'T WORK.   Plus an eternity in hell or an eternity with a terroristic God? I think I will stick with being able to live with myself for even today, let alone an eternity.  "
sarc,"The fact that you think the 9-9-9 plan is good only proves you are as stupid as Herman Cain is. Maybe you and Grover Norquist can get with Herman Cain and start construction on Utopian dreamworld, and don't forget to stop by and pick up your other dumbass Ron Paul on your way ."
sarc,"This just goes to prove that these nasty gays are maliciously infiltrating the military far more than we suspected (anyone would think they want to defend the country or something). But no, they just want to infect them with nasty squiggly crawly things. EEeew!! Look the SEALS must be a bunch of raving deviants. Quick, club the lot of them before this thing spreads.emoticonXRolleyes   Er . . . *puts down burning cross and slinks into shadow*"
sarc,"He didn't pursue the ""master race of white Protestant."" He was a pure Aryanist, genius one. The very least you could do is get your facts straight, but you probably like spreading this bullcrap on purpose. (Seeing as how you're an atheist.)"
sarc,"Yeah guess that probably makes me a gun-toten redneck drunk,shooten everything in sight huh.emoticonXKillemoticonXGood"
sarc,And you're accusing him of not debating properly? That's the best you can do?
sarc,You mean like how you suck any rationale thought or discourse from a debate topic? Talk about ABORTING.
sarc,"I thought you had vowed never to post in this forum again. ????? I suppose with your views on divorce, your wedding vows have as much weight as your vow not to post here."
sarc,"Wow that worked well. Please explain where his logic is flawed in the point he made. You cant, because its not. This just proves how much this ""point"" along with all your other arguments have ""flaws in logic"" if you will."
sarc,Find me a mass shooting in Utah where concealed carry on campus is legal.
sarc,"****! I go to Home Depot, have a basic understanding of car maintenance, love to fish, always wear sensible shoes and will frequently go without make-up. I never knew I was a XXXX. Man if I can't get my stereotypes right, I guess I will just have to give up my crush on the cute dude guitar player I saw last night..... :p"
sarc,This is from an article I read on it...so if we just get a bunch of aerosol spray cans we can combat any warming emoticonXGood
sarc,"I guess I am just ""psychologically conditioned"" to be blue eyed.?"
sarc,No I can't marry them becasue some of them are married. Also none have intent to li ve within Mass.
sarc,"Um no... It's the truth... Um, I guess it was sarcasm, but I don't think that would be something that you would understand."
sarc,"I suppose if you Truly Believe its not dishonest to repeat anothers ideas as if they were your own. I will keep this in mind the next time I have to write a paper. Woe betide any professor who accuses me of plagiarism, for he is trampling my religious freedoms!  "
sarc,"Pure conjecture on your part. As a father of three, I have as much vested interest in my kids as my wife has. To suggest otherwise is BS. But, maybe you don't understand that because you haven't walked a mile in a father's shoes. emoticonXRolleyes"
sarc,I feel a No True Scotsman coming on. Should I even bother to mention Hovind?
sarc,I won't waste my time with trolls here. Do you have anything useful to say?
sarc,"I see you've met my stalker. Lovely soul, isn't s/he? ;)"
sarc,That's like looking at a rainbow and insisting it only has the color red in it.  
sarc,"Actually, breeding horses and donkeys isn't an effort to create a new species. Where did you get such a thoughtless idea. And neither is interbreeding lions and tigers. However, you don't seem to be aware that neither ligers or tigons are sterile. They are capable of breeding with each other or with either of the parent species. And then there are polar bears and brown bears, which can and will interbreed if given the opportunity. And the offspring are perfectly fertile."
sarc,You really are an idiot if you think China follows Jefferson
sarc,"Come now, VoR. Everyone knows that the French would never fight another country.....by themselves. emoticonXRolleyes"
sarc,"Is it not extremely cold at 35,000 feet? Did he not suffer from hypothermia due to the extreme cold at 35,000 feet? Did he not fall from the sky and break near all his bones when the wheel well opened for landing after a lengthy flight at 35,000 feet? Do I have to give you the flight number and type of airplane in order to get my stuffed animal circus prize?"
sarc,"Well are there 4 or are there none? What about the Archaeopteryx lineage, why do you keep avoiding the question by changing the subject? It's no wonder scientists get annoyed with creationists."
sarc,"Really. If that's being ""saved,"" I prefer to go down with the Titanic."
sarc,"Sheeple never understand where money comes from nor do they know cliffs even exist. Full bellies, breeding, mindless entertainment and a government sheppard are their sole requirements."
sarc,"Already busted, Mr. Trebor. Went in one eye and out the other. Come back when you have something other than generalized rhetoric."
sarc,"He wasn't trying to. Shooterandproud may be an unreasonable gun nut, but he accepts evolution."
sarc,"No, you wouldn't have. I'd have a better chance of winning the lottery without buying a ticket."
sarc,"Well since Bush took office the mantra has bee ""Local Control"" has it not. Apparently the people of your state want whats happening. Local control in action. Rejoice in your victory."
sarc,"B.S. simone. He was the perfect age for Vietnam. Why hasn't he released his draft card? I know, they only sent them to citizens."
sarc,So which argument do you want to stick with/ The one above that says the black vote was irrelevent or your previous argument in which you claimed was significant. I'll refresh your memory::  
sarc,"Well, we have our head in the sand in more ways than one."
sarc,You are so FUN. Its amazing to hear you say this considering how much you applaud a law that pretty much allows this in Arizona.
sarc,"Liar, liar, pants on fire. You pro gay sex heathens haven't a clue what's coming your way. And you don't have to like it.  "
sarc,"How about not clicking the ""reply "" button twice (heh,heh,) No, we didn't (Thank goodness) AND! PM Blair is recanting from the Kyoto protocol. Bully for him!"
sarc,I have no problem with them preaching against gays in their churches and the privacy of thier homes. Its when they crawl out from under their rocks that I have a problem. I also have absolutly no problem what so ever with them talking about Jesus if only they would keep to the subject of Jesus and leave all gay issues alone. Unfortually Paul has replaced Jesus in many churches.
sarc,"Aaahhh, so just not accomplishing our goals and going home is not defeat, there has to be paperwork for it to be a defeat. Gotcha.   "
sarc,"And you wonder why people call ""republicans"" racist, women hating bigots. (hint: it's comments like yours)"
sarc,In England we have a sack with a couple of bricks inside it.
sarc,"I'm sure Jebbo has no alterior motive in this at all emoticonXClown   No, really he doesn'temoticonXConfused   Honestly emoticonXDonno   Please stop smirking emoticonXBye"
sarc,"I can't convert you JSD, only Christ can. But you must be open to Him and His Spirit for that to happen so don't be looking to me to save you. And you may think I'm self deluted, as in somehow watered down, but you are self deluded as in completely entrenched in your bigotry and ignorance of what is right and true. But thanks for judging me. I welcome it. :p"
sarc,This is a laughable oversimplication of reproduction. Humans don't make copies. Do you reproduce asexually? I know I don't.
sarc,"Don't forget that he's the anti-Christ and wants to starve Seniors and ""babies"". That's part of the DNC mantra too. emoticonXRolleyes"
sarc,"Yes, we should have a speedier route to the needle. If we miss a few, send a few innocent people to their deaths, no harm no foul."
sarc,"You are, in effect, telling me that putting someone in a position that will inevitable leave them dead does not make you responsible for their death. If I fire a bullet at your head, while that bullet is in mid-air, I am no longer doing anything to hurt you, and you are fine. However, I have set in motion affects that will result in your demise. This makes me responsible for your death."
sarc,"And the scientific papers don't. The problem here is that creationists don't read the scientific papers. In fact, most can't even understand them."
sarc,Oh what a shame! Especially if it's true! Where did you get the idea that ID theory is not based on evidence and/or testing?
sarc,I sincerely doubt any of that happened. If so you would have links. Yea we know you are cyber brave to the point of heroine status. You are a troll pure and simple.
sarc,"Ok, if Max is a hillbilly for his punctuation, then you, Ray, aspire to hillbilly-hood! Max hitting some typos while talking about other's intelligence was funny . You going after someone's English is just plain ludicrous! Do you really not know how awful your writing is?"
sarc,I am un-aware of a conservative nazi party. Did Howard Dean tell you this?
sarc,"Yes, necessarily for YOUR genocidal rantings. But not for actual reality.  "
sarc,"Hey, it's the same god, just older. The birth of his son mellowed him out, you know,.. made him think about the future more, and have to worry about responsibility and all that stuff."
sarc,"EZ is just delusional , you are ignorant.. there's a big difference. You should know considering he's your best friend...emoticonXHoho"
sarc,"If I ever need a kidney to live, I know who to tell them to harvest from... whether or not you agree to it :P  "
sarc,"Yes when not hailing jesus, he likes to leave droppings here and there about the boards ..."
sarc,"Nice try. Now, tell me how atheists are paying for ""Christian benefits""? Do Canadians give money to people based on their religion? They surely don't here in the States. I can only collect SS if I pay into the system. My employer AND I pay for my family's healthcare. As for their tax-free status, I would have no problem removing it...just as I'd love to see the ACLU and other crackpot liberal organizations lose their tax-exempt status. emoticonXGood   "
sarc,Oh vey! Vat du they say about the U.S. Marshals service committing more crimes than people they have actually arrested for a crime?
sarc,So you are an expert in this like you were about the economics of sending money out of the country?  The problem with letting people like you call the shots is that you really have no idea what you are talking about.  It's something I see in a lot of conservatives.
sarc,Yes I apologize for your ignorance and your inability to 'get it'....   
sarc,"But in all reality an embryo is inside a uterus, living solely through a placenta and a two month old baby is not. That is a significant difference. One may argue how significant, but it is silly to say the only difference is time."
sarc,"That's good - so you no longer believe all actions that result in inevitable deaths are killings, only cruel ones. This is an improvement on your previous:  "
sarc,"Yes, but if true it would certainly make the investigation go easier and the repair of other bridges faster and cheaper. Ban gay marriage - your bridges never collapse - imagine that!"
sarc,And then you can go pat yourself on the back and pretend it's all better. I hope your personal comfort level will be worth the havoc that will be brought upon the lives of women.
sarc,"That is the greatest monologue in the history of Earth. Instead of a resume, I will just fax this to my next prospective employer.   Great stuff."
sarc,When's the last time you heard of someone being killed by the accidental discharge of a fire extinguisher? Or when the last time a fire extinguisher was stolen from a home and then used in the commission of a crime? And don't you think the likelihood of being in a car accident is greater than that of being required to shoot someone?
sarc,You seem to require a slick answer to a complicated question - so how about this:  Question: Was Stalin a communist ?  Answer: That's what he said he was.  Hope this is glib and vacuous enough to meet with your exacting standards.
sarc,"I'm sorry, did Article V have a clause I'm missing that says you can only amendment the constitution if it accomplishes more freedom? Is there anywhere in the history of that provision that supports this? Can you point to ANYTHING that supports your incorrect viewpoint?   "
sarc,"And isn't it time that the Bush haters on the opposite side of the argument quit spreading lies about the constitutionality of the law? I'm sick of unsubstantiated liberal blather, aren't you? emoticonXRolleyes"
sarc,So all of this ballyhoo and really you've changed nothing? emoticonXConfused   The entire system of inheritance and wills would still be in place.  
sarc,"Except for, ya know, like the whole Old Testament.   False testament: archaeology refutes the Bible's claim to history"
sarc,"Hey that cheeseburger is on me,and make sure it has extra  rat poison!"
sarc,"Yep, so much for a pastor knowing his sheep(le).  It's no wonder that they aren't noticed when they go missing.  What ever happened for the shepherd going out and seeking his lost sheep to bring them back to the fold???  As to this case.  I mentioned earlier about Rick Warren (author of A Purpose Driven Life)...he doesn't have armed guards in his mega church.  But, then again, he's not a fleecing WofF in shepherds clothing who seeks to ravenously devour a flock."
sarc,Come on down to skid row with the rest of us 'lower class' I'll even buy a bottle of MD 20/20 on me.  
sarc,"The last known passenger pigeon died in 1914. Your attempt to inflame the discussion fails on the grounds of utter stupidity. Might as well be asking if he bagged a tasmanian tiger, or a chupacabra, or the mothman."
sarc,"Well if you already know you're for guns, then you should know the basic reasons, right? Or was this an uninformed decisions (I heard from my friend that guns are good)? But basically other people have said it. They're protected by the Constitution, they generally result in lower crime rates, and they can be used for defense as well as hunting. Oh, but the burden of proof isn't on the people supporting guns, but those who wish to ban guns. Most arguments for banning guns are easily refutable."
sarc,"The vast majority of scientists do not believe in Creationism, and all those people you listed who say there are only 2 varients evolution or creationism--they are't anthropological or theological experts. All they know is their westernized view. Their opinions have no reflection on Biology in that sense. THey should stick to Biology. There is only 1 true way--that's evolution. THe other's are wishful thinking, whether they be the primordial flood, the divine parrot, or magic god who made people from dust."
sarc,Do you think that red herrings and strawmen will help your case? ;)
sarc,"Well nobody has turned up the Ark have they, termites could assure that if properly used. After 40 days and more they would be ravenous."
sarc,they held a big bash in honor of sluttish welfare queen Ayn Rand:  
sarc,"Oh, I think you take delight in spelling it out in excruciating detail. Otherwise, you'd reply on point.  "
sarc,And you know he is NATO's boy how? You get a bit more looney with each post there comic relief. Keep the laffs coming tho.
sarc,"Good, associate yourself with him. After all, having a best pal who weaves a web of contridictions and lies can't hurt you right?"
sarc,Who is this god you speak of? Can I call him? I have some things I'd like done and he can just say them while on the phone I'm hoping.  -Mach
sarc,"Oh but he is different in the mule's tiny mind. The Southern Baptist types are Christian and so uphold the mule's way of life, so it's alright for them to call for mass death."
sarc,"So, in your scenario, Prototype, are you anti-choice folk going to force us who believe in choice, who believe that a woman owns her very own body, are you going to place us in re-education jails so that we, too, believe that a fertilized egg is a human being?"
sarc,"No. I'll type slowly so I don't get ahead of you this time. Follow with your finger and move your lips if no one is watching. Scientists get to define what they mean by the scientific words that they use. Not you and not your preacher. Do I get to define what you mean by the word ""prayer?"" Why not?"
sarc,"Hang in here everyone, Bassman's been reading ""_____""'s posts over and over and they've got him talking about the ""American Holocaust""! emoticonXBanghead   Until you have been in my exact situation, I wouldn't expect someone like you to understand. I really don't give a emoticonXCensored if you think it is selfish or not - it is not for you to judge."
sarc,"No, but I read some of the evidence and it looked pretty solid. If this person was sentenced to life in prison without parole would you question the verdict?"
sarc,"Look what is talking about insane, immune to reason, a prisnor of his own giant ignorance, slavery fetishist and one of the comic relief 3 stooges. You might have a dialogue but then insult isn't part of one. No one gives a rat's patoot about your opinion. If it were your country maybe they would but I doubt it. Mean while eat your heart out as you rail in fear about us buying and keeping arms."
sarc,But how can we make rules without legal lines in sand? At least its better than an illegal line.
sarc,I thought it was at the bottom of a large body of water.
sarc,"Death might not bother you, but the afterlife is going to be a real killer!"
sarc,"Dude, you only figured that out now?   I'm disappointed in you.   just joking. Everything he states has a hidden agenda."
sarc,Are there many liberal democrat left wing thinking born again Christians? Weird huh?
sarc,I can tell that you dismissed the post below that. And I feel I can assume that you didn't read it. Odd that a paranoid conspiracy theorist / communist who concluded that communism has never led to dictatorship should accuse me of being a fanatic.
sarc,Really?! Wow! You must know only hardcore pro-lifers. I'm a pro-lifer who believes in birth control and I can rattle the names of about a zillion others who share my opinion. emoticonXWow
sarc,And you have a right to cling to superstition and magic as true. But that doesn't make mythology true.
sarc,"Your definition of ""Godly wisdom"" is agreeing with your political positions and your spurious theological justifications for them, so it's hardly surprising you don't encounter any liberals who you think have ""Godly wisdom"""
sarc,"Funny, I thought Heribert Nilsson was a botanist. Don't let little details like that get in your way though."
sarc,"Here you are using the misogynist POV. No ""Rushspeak"" if you please.  "
sarc,"Why doesn't this apply to Soviet Russia - which had a population of similar size ? Presumably, your answer would be that the USSR was less ""developed"" than the US ?"
sarc,"April was ""recent"" ? Please provide evidence from the memo of these ""examples""."
sarc,"No need for further evidence why this law would be dangerous to those who do not think exactly like you do!   Instead of calling it a government terrorist watch list, we should just drop the pretension and call it what it would be come. The Democrat Political Enemies Terrorist Wish List! :lol:   Bloomberg: Deny Second Amendment to People on Terror Watch List"
sarc,"Oh, it gave me quite a shock when that happened! I wasn't expecting it at all! emoticonXRolleyes"
sarc,You just had to bring Godwin into didn't you. >_>   Besides what good is a corpse? Nevermind you're never going to understand my logic so I might as well not waste the time.
sarc,Oh . . . please be gentle with me. Whew! :p   
sarc,Well then the courts must be insane. Because I'm sure there are some gun control laws that they're struck down due to their ineffectiveness.
